#TYPE Microsoft.PowerShell.Commands.HistoryInfo
"Id","CommandLine","ExecutionStatus","StartExecutionTime","EndExecutionTime"
"39","python ajusterconnection.py","Completed","29/03/2025 20:34:34","29/03/2025 20:34:34"
"40","python ajusterconnection.py","Completed","29/03/2025 20:36:56","29/03/2025 20:36:56"
"41","python -m SimpleHTTPServer 8000","Stopped","29/03/2025 20:38:02","29/03/2025 20:40:51"
"42","python ajusterconnection.py","Completed","29/03/2025 20:40:54","29/03/2025 20:40:54"
"43","python ajusterconnection.py","Completed","29/03/2025 20:42:13","29/03/2025 20:42:13"
"44","python -m SimpleHTTPServer 8000","Stopped","29/03/2025 20:43:10","29/03/2025 20:45:42"
"45","python ajusterconnection.py","Completed","29/03/2025 20:45:44","29/03/2025 20:45:45"
"46","python ajusterconnection.py","Completed","29/03/2025 20:47:34","29/03/2025 20:47:34"
"47","python -m SimpleHTTPServer 8000","Stopped","29/03/2025 20:48:32","29/03/2025 21:02:02"
"48","python ajusterconnection.py","Completed","29/03/2025 21:02:05","29/03/2025 21:02:05"
"49","python ajusterconnection.py","Completed","29/03/2025 21:03:35","29/03/2025 21:03:36"
"50","python ajusterconnection.py","Completed","29/03/2025 21:05:28","29/03/2025 21:05:28"
"51","python ajusterconnection.py","Completed","29/03/2025 21:08:46","29/03/2025 21:08:46"
"52","python ajusterconnection.py","Completed","29/03/2025 21:10:42","29/03/2025 21:10:45"
"53","python ajusterconnection.py","Completed","29/03/2025 21:11:18","29/03/2025 21:11:21"
"54","python -m SimpleHTTPServer 8000","Stopped","29/03/2025 21:11:59","29/03/2025 21:15:53"
"55","python ajusterconnection.py","Completed","29/03/2025 21:15:55","29/03/2025 21:15:58"
"56","python -m SimpleHTTPServer 8000","Stopped","29/03/2025 21:16:43","04/04/2025 13:09:40"
"57","npm install -g svgo
svgo input.svg output.svg --config='{
  ""plugins"": [
    ""removeDoctype"",
    ""removeXMLProcInst"",
    ""removeComments"",
    ""removeMetadata"",
    ""removeEditorsNSData"",
    ""cleanupAttrs"",
    ""inlineStyles"",
    ""convertStyleToAttrs"",
    { ""name"": ""convertPathData"", ""params"": { ""noSpaceAfterFlags"": false } },
    ""convertTransform"",
    ""removeEmptyAttrs"",
    { ""name"": ""removeHiddenElems"", ""params"": { ""displayNone"": true } },
    ""removeEmptyText"",
    ""convertShapeToPath""
  ]
}'","Completed","04/04/2025 13:10:03","04/04/2025 13:10:11"
"58","install -g svgo","Completed","04/04/2025 13:11:24","04/04/2025 13:11:25"
"59","npm install -g svgo
svgo input.svg output.svg --config='{
  ""plugins"": [
    ""removeDoctype"",
    ""removeXMLProcInst"",
    ""removeComments"",
    ""removeMetadata"",
    ""removeEditorsNSData"",
    ""cleanupAttrs"",
    ""inlineStyles"",
    ""convertStyleToAttrs"",
    { ""name"": ""convertPathData"", ""params"": { ""noSpaceAfterFlags"": false } },
    ""convertTransform"",
    ""removeEmptyAttrs"",
    { ""name"": ""removeHiddenElems"", ""params"": { ""displayNone"": true } },
    ""removeEmptyText"",
    ""convertShapeToPath""
  ]
}'","Completed","04/04/2025 13:20:54","04/04/2025 13:21:00"
"60","npm install -g svgo","Completed","04/04/2025 13:22:28","04/04/2025 13:22:33"
"61","npm i -g svgo","Completed","04/04/2025 13:23:58","04/04/2025 13:24:03"
"62","http-server -p 8000","Completed","04/04/2025 13:37:03","04/04/2025 13:37:04"
"63","http-server -p 8000","Completed","04/04/2025 13:38:08","04/04/2025 13:38:08"
"64","http-server -p 8000","Completed","04/04/2025 13:39:43","04/04/2025 13:39:43"
"65","cd javasript","Completed","04/04/2025 13:40:36","04/04/2025 13:40:36"
"66","cd examples","Completed","04/04/2025 13:40:52","04/04/2025 13:40:52"
"67","cd javascript","Completed","04/04/2025 13:41:01","04/04/2025 13:41:01"
"68","cd examples","Completed","04/04/2025 13:41:08","04/04/2025 13:41:08"
"69","cd grapheditor","Completed","04/04/2025 13:41:16","04/04/2025 13:41:16"
"70","http-server -p 8000","Completed","04/04/2025 13:41:23","04/04/2025 13:41:23"
"71","cd www","Completed","04/04/2025 13:41:41","04/04/2025 13:41:41"
"72","http-server -p 8000","Completed","04/04/2025 13:41:44","04/04/2025 13:41:44"
"73","http-server -p 8000","Completed","04/04/2025 13:43:08","04/04/2025 13:43:08"
"74","Get-History","Completed","04/04/2025 13:44:41","04/04/2025 13:44:41"
